name,symbol,price,time
bitcoin,BTC,30773.24,00:06:35
name,symbol,price,time
bitcoin,BTC,30780.66,00:12:49
name,symbol,price,time
bitcoin,BTC,30808.57,00:23:13
name,symbol,price,time
bitcoin,BTC,30820.1,00:33:54
name,symbol,price,time
bitcoin,BTC,30798.17,00:39:06
name,symbol,price,time
bitcoin,BTC,30800.21,00:47:06
name,symbol,price,time
bitcoin,BTC,30817.45,09:26:11
name,symbol,price,time
bitcoin,BTC,30816.07,09:42:12
